출판사,작가,도서/강연제목,대상,강연방식,주제/소개,상세페이지,이미지URL
보랏빛소어린이,"류미정 (지은이), 불곰 (그림)",<베프 대신 로봇 친구> 류미정 작가와의 만남 : 진정한 친구,어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260715101515089_e13bb526,
계수나무,황진 (지은이),<목소리구슬> 황진 작가와의 만남 : 내 마음을 담는 그림책 시간,어린이(저학년),비대면,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260713170312556_65dd5eb1,
창비,"김성민 (지은이), 박요셉 (그림)",『고향에 계신 낙타께』 김성민 작가와의 만남 :낙타가 보내온 모래편지,어린이(저학년),대면/미정,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/lecture_20260713145642577_74f77d5a,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5568464%3Ftimestamp%3D20250608122442
창비,"김성민 (지은이), 안경미 (그림)",『브이를 찾습니다』 김성민 작가와의 만남 :동시를 찾습니다,어린이(저학년),비대면,"일반 강연 writing, 인문",https://www.bookseed.kr/program/lecture/lecture_20260713145058313_08dcf668,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533359%3Ftimestamp%3D20240618113604
창비,"이정란 (지은이), 지문 (그림)",『버찌의 선택』 이정란 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/lecture_20260713143018041_d12011cb,
다림,"최정은 (지은이), 전민걸 (그림)",<복날이 왔다> 최정은 작가와의 만남 : 그림책과 함께 여름 이야기 나누기,어린이(저학년),비대면,"활동/워크숍 그림책, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260709133852639_5a1034fc,
다봄,"곽민수 (지은이), 벼레 (그림)",<도서관 삼총사의 글쓰기 대소동> 곽민수 작가와의 만남,어린이(저학년),비대면,"활동/워크숍 그림책, writing",https://www.bookseed.kr/program/lecture/lecture_20260707180801686_48f73467,
소원나무,이현영 (지은이),<꿈틀꿈틀 숲> 이현영 작가와의 만남 : 우리들의 반짝반짝 빛나는 꿈!,어린이(저학년),비대면,독서 문학,https://www.bookseed.kr/program/lecture/lecture_20260706135228760_6ccc177f,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F7243107%3Ftimestamp%3D20260711144740
소원나무,"전이슬 (지은이), 김현정 (그림)",<크아앙 나도 무서워질 거야!> 전이슬 작가와의 만남 : 작가와 함께하는 용기 특별훈련!,어린이(저학년),비대면,활동/워크숍 문학,https://www.bookseed.kr/program/lecture/lecture_20260706134852466_7e74d460,
기린미디어,조예은 (지은이),<눈이 마주쳤어> 조예은 작가와의 만남,어린이(저학년),비대면,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260706133845687_425c345a,
머스트비,조영아 (지은이),<귀신 잡는 빨간 주머니 - 귀신도 곡할 이야기> 조영아 작가와의 만남,어린이(저학년),대면/미정,"독서 독서활동, 그림책",https://www.bookseed.kr/program/lecture/lecture_20260703125104707_aed21643,
킨더랜드,여름꽃 (지은이),<동생 없는 날> 여름꽃 작가와의 만남 : 그림책은 어떻게 만들어질까?,어린이(저학년),대면/미정,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260702152519050_c819f6cd,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5456268%3Ftimestamp%3D20230111180524
브와포레,이혜원 (지은이),<나는 발차기 중> 이혜원 작가와의 만남,어린이(저학년),대면/미정,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260702144042987_2316334c,
잇츠북어린이,"이초아 (지은이), 나오미양 (그림)",<무조건 반사> 이초아 작가와의 만남,어린이(저학년),비대면,활동/워크숍 문학,https://www.bookseed.kr/program/lecture/lecture_20260702142328052_b183876d,
봄개울,신유미 (지은이),<떡볶이의 탄생> 신유미 작가와의 만남: AI시대에 더욱 필요한 마음 콘서트 & 떡볶이 만들기,어린이(저학년),대면/미정,"일반 강연 그림책, 문학",https://www.bookseed.kr/program/lecture/lecture_20260701184127396_70c7c507,
뜨인돌어린이,"권지영 (지은이), 안난초 (그림)",<놀면서 즐기는 이행시 동시> 권지영 작가와의 만남,어린이(저학년),비대면,"독서 writing, 문학",https://www.bookseed.kr/program/lecture/lecture_20260701154526408_85ef4f8f,
노란돼지,박현아,<스마트폰 없이는 못 살아> 박현아 작가와의 만남 : 일상을 안전하게 지키는 디지털 리터러시 교육,어린이(저학년),비대면,"일반 강연 교양/문화, 사회",https://www.bookseed.kr/program/lecture/lecture_20260630113735719_c92d4e14,
"미래아이(미래M&B,미래엠앤비)","우미옥 (지은이), 김지하 (그림)",<요술 동물 판박이> 우미옥 작가와의 만남 : 있는 그대로의 나를 사랑하는 힘,어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260630112006427_c09b6fa2,
길벗어린이,"김다노 (지은이), 심보영 (그림)",<황현호 보내기> 김다노 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/lecture_20260629181904128_30e47900,
킨더랜드,"윤은주 (지은이), 주노 (그림)",<스스로 선택해도 괜찮아> 윤은주 작가와의 만남,어린이(저학년),비대면,"일반 강연 교양/문화, 인문",https://www.bookseed.kr/program/lecture/lecture_20260629155709974_8f4b82e5,
주니어RHK(주니어랜덤),윤지혜 (지은이),"<잠깐만요, 문어 할아버지> 윤지혜 작가와의 만남",어린이(저학년),대면/미정,"일반 강연 creative, 그림책",https://www.bookseed.kr/program/lecture/lecture_20260625160244538_b41f2e12,
창비,김규아 (지은이),『참새를 따라가면』 김규아 작가와의 만남 :참새 식당 꾸미기,어린이(저학년),대면/미정,"활동/워크숍 그림책, creative",https://www.bookseed.kr/program/lecture/lecture_20260625105115883_af33b4ed,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5480526%3Ftimestamp%3D20231124145149
창비,"이반디 (지은이), 김중석 (그림)",『도레미의 신기한 모험』 이반디 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260625102421162_40a26c1e,
창비,"이반디 (지은이), 홍선주 (그림)",『꼬마 너구리 삼총사』 이반디 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260625102210642_506c5ab4,
바이킹,"김현태 (지은이), 은옥 (그림)",내 안의 감정을 사랑하는 방법 (자존감 키우기),어린이(저학년),비대면,"일반 강연 기타, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260625101018860_d4b13396,
창비,"신지영, 김대현 (지은이), 이경석 (그림)",『너구리 판사 퐁퐁이』 김대현 작가와의 만남 :동물 마을 모의재판,어린이(저학년),비대면,"일반 강연 문학, 사회",https://www.bookseed.kr/program/lecture/lecture_20260625100134552_e69201db,
사계절,김상근 (지은이),<두더지의 고민> 김상근 작가와의 만남 :고민은 나쁜 것일까? 함께 고민 나누기,어린이(저학년),비대면,"활동/워크숍 그림책, 문학",https://www.bookseed.kr/program/lecture/lecture_20260624160552371_4bf786bf,
리틀씨앤톡,"최부순 (지은이), 이로우 (그림)","<나의 숲으로> 최부순 작가와의 만남 : 함께 떠나는 숲 여행, 생태 감수성을 키우는 참여형 독서 프로그램",어린이(저학년),비대면,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260624111434923_d83ce880,
창비,강경수 (지은이),『다이빙의 왕』 강경수 작가와의 만남 :동시 속으로 다이빙!,어린이(저학년),대면/미정,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/lecture_20260623163410793_a9a0733f,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5419628%3Ftimestamp%3D20260325142244
꿈터,"원유순 (지은이), 정경아 (그림)",<열 살의 파워> 원유순 작가와의 만남,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260623094623220_e5ac0d53,
북멘토(도서출판),"류미정 (지은이), 이수현 (그림)",<마음 쏙 친구> 류미정 작가와의 만남 : 내 마음에 쏙 드는 친구는 어떻게 만들까요?,어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260622183221876_065d43e8,
다산기획,"고규홍 (지은이), 최경식 (그림)",<도시의 나무 친구들> 최경식 작가와의 만남,어린이(저학년),대면/미정,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260621121252689_fe594b0a,
사계절,최경식 (지은이),<파란 분수> 최경식 작가와의 만남,어린이(저학년),대면/미정,"활동/워크숍 그림책, 문학",https://www.bookseed.kr/program/lecture/lecture_20260621120954640_1ea905b9,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F777125%3Ftimestamp%3D20260707110754
만만한책방,최경식 (지은이),<꼭꼭 숨었니?> 최경식 작가와의 만남 : 인형극 공연,어린이(저학년),대면/미정,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260621115807758_07a83d3c,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5692993%3Ftimestamp%3D20260327123651
