출판사,작가,도서/강연제목,대상,강연방식,주제/소개,상세페이지,이미지URL
분홍고래,"박부금 (지은이), 전지은 (그림)","<이유 없이 싫은 이유> 박부금 작가와의 만남 (어린이, 청소년 대상)",어린이(고학년),비대면,"일반 강연 교양/문화, 사회",https://www.bookseed.kr/program/lecture/lecture_20260410122118588_c56dcbcb,
별숲,"정화영 (지은이), 이인아 (그림)",<너무 큰 소원을 말하지 않을게> 정화영 작가와의 만남 : 멋진 소원을 비는 방법,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260410110524187_087b9245,
서사원주니어,"임민찬 (지은이), 정일 (그림)",<초등 공부 습관 만들기> 임민찬 작가와의 만남,어린이(고학년),대면/미정,일반 강연 기타,https://www.bookseed.kr/program/lecture/lecture_20260409174150893_ff220a65,
서사원주니어,오현선 (지은이),<하루 10분 한국사 신문> 오현선 작가와의 만남,어린이(고학년),대면/미정,일반 강연 교양/문화,https://www.bookseed.kr/program/lecture/lecture_20260409134727765_a51fd3bb,
노란돼지,정유리,"<오디션, 맑음> 정유리 작가와의 만남 : '내 꿈, 맑음'",어린이(고학년),비대면,"일반 강연 문학, career",https://www.bookseed.kr/program/lecture/lecture_20260409131845656_4650740d,
이지북,"정화영 (지은이), 뚱딴지 (그림)",<귀신 카페는 오늘도 영업 중> 정화영 작가와의 만남 : 사회정서학습으로 따라 생각 나누기,어린이(고학년),비대면,"일반 강연 문학, 사회",https://www.bookseed.kr/program/lecture/lecture_20260409121954390_f566a9d9,
베틀북,"정화영 (지은이), 해마 (그림)",<봄이 기다리는 진짜 봄> 정화영 작가와의 만남 :가족을 사랑하는 특별한 방법,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260408193620501_31ba6858,
산수야,권오단 (지은이),<도깨비도사 토부리> 권오단 작가와의 만남,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260408104036952_3578c89b,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5942301%3Ftimestamp%3D20230217185342
특서주니어(특별한서재),"이상권 (지은이), 오이트 (그림)",<소년병의 끝없는 이야기> 이상권 작가와의 만남 :인간의 존엄성과 평화의 가치에 대해 생각해 보는 시간,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260403103930742_f806fa7a,
별숲,"은경 (지은이), 이영환 (그림)",<가족을 찾는 사람들> 은경 작가와의 만남 :전쟁이 남기는 것들,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260402085922602_05ac947b,
길벗어린이,"임화선 (지은이), 김진화 (그림)","<그래, 파도!> 임화선 작가와의 만남",어린이(고학년),비대면,"독서 독서활동, 문학",https://www.bookseed.kr/program/lecture/lecture_20260401100333512_0be4f4ee,
머핀북,"신은영 (지은이), 오승민 (그림)",<내 최애는 너야> 신은영 작가와의 만남,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260331144606477_b099aa15,
위즈덤하우스,"이수용 (지은이), 이해정 (그림)",<거절당하기 숙제> 이수용 작가와의 만남 : 거절에 맞서는 법,어린이(고학년),비대면,"일반 강연 인문, 사회",https://www.bookseed.kr/program/lecture/lecture_20260331130659600_fa7183d8,
주니어RHK(주니어랜덤),김지원 (지은이),<지렁이 키우지렁> 김지원 작가와의 만남,어린이(고학년),대면/미정,"일반 강연 과학, creative",https://www.bookseed.kr/program/lecture/lecture_20260330080955777_7b5a308a,
이루리북스,이수완 (지은이),<이기고 말 테야> 이수완 작가와의 만남,어린이(고학년),비대면,"활동/워크숍 그림책, 문학",https://www.bookseed.kr/program/lecture/lecture_20260328170334803_287df6ac,
아이스크림미디어,정한나 (지은이),<환경 기념일로 읽는 지구 생태 신문> 정한나 작가와의 만남,어린이(고학년),비대면,"활동/워크숍 인문, 사회",https://www.bookseed.kr/program/lecture/lecture_20260326144034116_ba2634eb,
미래엔아이세움,"이현아 (지은이), 유영근 (그림)",<야흥 야흥! 운명 해결사 천호냥 1 - 아기 장수의 운명> 이현아 작가와의 만남 :나의 운명은 내가 만들어 가는 것!,어린이(고학년),비대면,"일반 강연 교과, 독서활동",https://www.bookseed.kr/program/lecture/lecture_20260325220106587_b6dadbed,
아르볼,"이현아 (지은이), 복치 (그림)",<붉은 여우 신령 2 - 혓바닥요괴> 이현아 작가와의 만남 : 건강한 우정을 위해 털어놓는 속마음!,어린이(고학년),비대면,"일반 강연 writing, 교과",https://www.bookseed.kr/program/lecture/lecture_20260325213954978_32d1e511,
썬더키즈,"박성은 (지은이), 달상 (그림)",<괴담 속 진짜 숨은 역사 - 세계사 속에 숨어 있는 무서운 이야기> 박성은 작가와의 만남,어린이(고학년),비대면,"일반 강연 교양/문화, 인문",https://www.bookseed.kr/program/lecture/lecture_20260323115722864_aacc6115,
슈크림북,"김경미 (지은이), 센개 (그림)",<설전도 수련관 1 - 무례한 친구에게 당당하게 말하기> 김경미 작가와의 만남 :내 마음 지키기,어린이(고학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260320012630435_dad2229c,
다정한시민,"신인철 (지은이), 박보은 (그림)",<밤하늘의 황제 수리부엉이가 고달픈 이유 - 기후 변화와 한국의 멸종 위기 동물> 신인철 작가와의 만남,어린이(고학년),비대면,"일반 강연 과학, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260319131617726_6893d8d4,
어크로스주니어,"임수경 (지은이), 김소희 (그림)","<미디어, 모두가 진실은 아니라고요? > 임수경 작가와의 만남",어린이(고학년),비대면,"일반 강연 사회, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260317113953015_d7fdd397,
봄개울,"곽민수 (지은이), 이지 (그림)","<연극을 합시다, 냐아옹> 곽민수 작가와의 만남",어린이(고학년),비대면,활동/워크숍 art,https://www.bookseed.kr/program/lecture/lecture_20260313154913018_958c0214,
토닥스토리,"안성훈 (지은이), 하오 (그림)",『몬스터 아파트 1』 안성훈 작가와의 만남 :여러분을 '몬스터 아파트'로 초대합니다!,어린이(고학년),비대면,"활동/워크숍 문학, art",https://www.bookseed.kr/program/lecture/lecture_20260313125032740_9618f1ba,
길벗스쿨,"김지원(책꿈샘) (지은이), 차야다 (그림)","문해력 쑥쑥 동화 <책 읽는 고양이, 고고 선생>, 글을 잘 쓰는 비결 10가지",어린이(고학년),비대면,"일반 강연 writing, 교과",https://www.bookseed.kr/program/lecture/lecture_20260312233430968_e929cbb1,
길벗스쿨,"김지원(책꿈샘) (지은이), 차야다 (그림)","문해력 쑥쑥 동화 <책 읽는 고양이, 고고 선생>, 책을 잘 읽는 비결 10가지",어린이(고학년),비대면,"일반 강연 독서활동, 교과",https://www.bookseed.kr/program/lecture/lecture_20260312232633153_0f39a3ef,
그린애플,"김원배, 정예슬, 임가은, 김미나, 박민선 (지은이), 윤수영 (그림)",<초등 꿈 찾기 - 10가지 지능으로 알아보는> 내 강점 지도 워크북!,어린이(고학년),비대면,활동/워크숍 career,https://www.bookseed.kr/program/lecture/lecture_20260312175343403_7c199737,
한겨레아이들,"신지영 (지은이), 김민준 (그림)","<배려의 여왕이 할 말 있대> 신지영 작가와의 만남 : 배려의 여왕과 함께하는 ""마음 읽기 탐정단!""",어린이(고학년),비대면,일반 강연 교양/문화,https://www.bookseed.kr/program/lecture/lecture_20260312175250294_d40b1598,
다른어린이,"윤자영 (지은이), 노이신 (그림)",<다있소 과학 1 - 최고의 문구왕을 뽑아라> 윤자영 작가와의 만남,어린이(고학년),대면/미정,"일반 강연 과학, 교과",https://www.bookseed.kr/program/lecture/lecture_20260312165121654_410699e6,
특서주니어(특별한서재),"강혜승 (지은이), 김성희 (그림)","<지구 마을, 세계 시민 이야기> 강혜승 작가와의 만남: 세계 곳곳의 문제를 ‘나의 삶’과 연결하다!",어린이(고학년),비대면,"일반 강연 사회, 인문",https://www.bookseed.kr/program/lecture/lecture_20260312102110400_d49f1592,
단비어린이,"김영주 (지은이), 안병현 (그림)","<마녀를 구하라!> 김영주 작가와의 만남 : 공감과 협력 이야기 , 관계를 지키는 마법 주문",어린이(고학년),비대면,"일반 강연 사회, 문학",https://www.bookseed.kr/program/lecture/lecture_20260310201837457_6d07b290,
소원나무,"이윤주 (지은이), 조현아 (그림)",<드림 페어링> 이윤주 작가와의 만남 : 나의 꿈과 '만약에'!,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260310174336364_dfcfc87d,
천개의바람,"김민정 (지은이), 윤소진 (그림)",<망했다 몬스터를 잡아라!> 김민정 작가와의 만남,어린이(고학년),비대면,"활동/워크숍 문학, 독서활동",https://www.bookseed.kr/program/lecture/lecture_20260310095510855_b28bd65f,
플루토,권윤정 (지은이),<중등 수학 완성을 위한 초등 연산 정복> 저자와의 만남,어린이(고학년),대면/미정,"일반 강연 기타, 교과",https://www.bookseed.kr/program/lecture/lecture_20260310094603687_e422dd97,
북멘토(도서출판),"신지영 (지은이), 이소라 (그림)","<세계를 바꾸는 착한 음악 이야기> 신지영 작가와의 만남 :세상을 바꾸는 멜로디, 나를 깨우는 비트!",어린이(고학년),비대면,"일반 강연 교양/문화, art",https://www.bookseed.kr/program/lecture/lecture_20260306132919278_f6d3decd,
햇살과나무꾼,"강무홍 (지은이), 김종범 (그림), 이신철 (감수)",<마법의 두루마리 10> 강무홍 작가와의 만남 : 하얼빈 역에 울려 퍼진 총성,어린이(고학년),비대면,일반 강연 인문,https://www.bookseed.kr/program/lecture/lecture_20260304175458056_2e7c3e7f,
여섯번째봄,이수연 (지은이),<내 어깨 위 두 친구> 이수연 작가와의 만남,어린이(고학년),대면/미정,"창작 문학, 그림책",https://www.bookseed.kr/program/lecture/lecture_20260304092757145_5f41ee5d,
북멘토(도서출판),"신지영 (지은이), 정현 (그림)","<이야기 프로듀서 유이 1,2> 신지영 작가와의 만남 : 나도 이야기 프로듀서! - 이야기 설계도를 만들고 몸짓으로 표현해보자",어린이(고학년),비대면,"활동/워크숍 문학, 기타",https://www.bookseed.kr/program/lecture/lecture_20260303181232264_8f3d395c,
킨더랜드,"제성은 (지은이), 조승연 (그림)",<랜덤 가족> 제성은 작가와의 만남 :우리 가족은 ‘랜덤’이 아닌 ‘운명’이야!,어린이(고학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260303114019325_fffc99c2,
여름꽃,"박효미 (지은이), 이나무 (그림)","<운동장은 사라졌지만> 박효미 작가와의 만나 :마음근육, 회복탄력성 키우기",어린이(고학년),비대면,활동/워크숍 문학,https://www.bookseed.kr/program/lecture/lecture_20260303105824874_a43eb915,
주니어RHK(주니어랜덤),"이선주 (지은이), 국민지 (그림)",<태구는 새 가족이 낯설다> 이선주 작가와의 만남,어린이(고학년),대면/미정,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260227091249736_3ef8c1ea,
길벗스쿨,"김정미 (지은이), 모예진 (그림)",<공이 나에게 말을 걸었다> 김정미 작가와 함께 첫 동화책 만들기,어린이(고학년),비대면,"활동/워크숍 문학, 기타",https://www.bookseed.kr/program/lecture/lecture_20260226110512856_8f30a81d,
사계절,"오주영 (지은이), 경혜원 (그림)",『낭만 복숭아』 오주영 작가와의 만남 :상처를 딛고 사랑하며 성장하는 우리,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260226102328974_ec0d578a,
소원나무,"동글 (지은이), 간장 (그림)",<지구인 학교 가기> 동글 작가와의 만남 :우리는 어마어마한 지구인,어린이(고학년),비대면,"독서 문학, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260223164320289_b45a560c,
창비,"이현 (지은이), 오윤화 (그림)",『푸른 사자 와니니』 이현 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/lecture_20260223144445436_df97a6e7,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533078%3Ftimestamp%3D20260807121229
위즈덤하우스,"김민정 (지은이), 마영신 (그림)",<귀신 샴푸> 김민정 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260221120915441_7e8012c1,
라임,"김민정 (지은이), 김진화 (그림)",<괴물딱지> 김민정 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260221115506404_ff30b35c,
미래엔아이세움,"곽영미 (지은이), 윤소진 (그림)",<누구의 잘못일까? 1> 곽영미 작가와의 만남,어린이(고학년),비대면,활동/워크숍 사회,https://www.bookseed.kr/program/lecture/lecture_20260220111503981_adf37f9c,
마루비,"최현진 (지은이), 한아름 (그림)",<지금 이 순간> 최현진 작가와의 만남,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260211145809266_26021cbc,
모알보알,"정문주 (지은이), 백정엽 (감수)",<암기왕 우주의 대단한 뇌 모험> 정문주 작가와 함께하는 내 머릿속 탐험,어린이(고학년),대면/미정,"활동/워크숍 그림책, 과학",https://www.bookseed.kr/program/lecture/lecture_20260205183745807_561ce361,
문학과지성사,"김태호 (지은이), 오승민 (그림)",<귀 파 주는 생쥐> 김태호 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260204173553852_dd8fdad3,
다산어린이,"박현숙 (지은이), 모차 (그림)",<오해의 달인 - K-초등 리얼리티 스토리> 박현숙 작가와의 만남,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260204133902995_a47b6232,
다산어린이,"이송현 (지은이), 오삼이 (그림)",<할머니의 아이돌> 이송현 작가와의 만남,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260203101805749_6e7ac213,
아이음북스,"장희정 (지은이), 홍연시 (그림)",<일주일 안에 인싸 되기> 장희정 작가와의 만남,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260130211129096_2899873f,
밝은미래,"류미정 (지은이), 손수정 (그림)",<생일엔 마라탕 7> 류미정 작가와의 만남,어린이(고학년),비대면,"활동/워크숍 문학, writing",https://www.bookseed.kr/program/lecture/lecture_20260130130018100_8066e004,
이지북,"이재문 (지은이), 무디 (그림)",<마이 가디언 4> 이재문 작가와의 만남 :가짜 뉴스로부터 나를 지키는 가디언은 나 자신!,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260126181929940_4b9d7189,
어크로스주니어,"천상희 (지은이), 어수현 (그림)",<어린이도 경제 활동을 한다고요?> 천상희 작가와의 만남,어린이(고학년),비대면,"일반 강연 교양/문화, 사회",https://www.bookseed.kr/program/lecture/lecture_20260126164708276_70dec750,
우리학교,"정은주 (지은이), 김푸른 (그림)",<우리가 봄을 건너는 법> 정은주 작가와의 만남,어린이(고학년),대면/미정,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260126110443879_b0542e86,
파란자전거,"정종영 (지은이), 김다정 (그림), 최슬기 (도움글)","<습지구조대 생생댄스TV> 정종영 작가와의 만남 :어서 와, 이런 '진흙탕'은 처음이지? 물과 뭍의 '썸'타는 사이, 그 경계에서 생긴 일",어린이(고학년),비대면,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260122145958226_9c257550,
이지북,"김용세 (지은이), 김연우 (그림)",<네 컷 사진 찰칵! 괴담> 김용세 작가와의 만남 :네 컷 사진에 담긴 진짜 내 모습,어린이(고학년),대면/미정,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260121142740081_916ef587,
이지북,"오홍선이 (지은이), 김민우 (그림)",<록키즈 탐정단> 오홍선이 작가와의 만남 :대탐정 셜록 홈즈가 되어 보는 시간,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260121141741840_4473f0b4,
이지북,"황지영 (지은이), 치즈 (그림)",<쉿! 비밀 보장 고양이 타로 상담소> 황지영 작가와의 만남 :타로로 들여다보는 나의 진짜 마음,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260121141520397_e51a78f4,
동녘주니어,"김고은 (지은이), 킹아이 (그림)",<아름다운 한자 가치 사전> 김고은 작가와의 만남,어린이(고학년),비대면,"일반 강연 교양/문화, 인문",https://www.bookseed.kr/program/lecture/lecture_20260121103947085_5cf0f589,
산하,"한영미 (지은이), 허구 (그림)",<낙서 독립운동 - 소년 김용창의 뜨거운 외침> 한영미 작가와의 만남 :우리는 모두 기적이다,어린이(고학년),비대면,"일반 강연 교양/문화, 기타",https://www.bookseed.kr/program/lecture/lecture_20260121103529609_6d6104e5,
살림어린이,"한영미 (지은이), 박현주 (그림)","<눈물의 오디션> 한영미 작가와의 만남 :경쟁, 그 위에 서서 내 꿈을 찾아보자",어린이(고학년),비대면,"일반 강연 인문, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260121103234509_da76b22d,
어린이나무생각,"한영미 (글), 남궁선하 (그림)",<나는 슈갈이다> 한영미 작가와의 만남 :폭력 앞에 숨지 말아요,어린이(고학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/lecture_20260121102644239_05f0c46b,
어린이작가정신,"한영미 (지은이), 김완진 (그림)",<우리 빌라에는 이상한 사람들이 산다> 한영미 작가와의 만남 :이웃과 함께할 때 더 행복해요,어린이(고학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/lecture_20260121102420675_0e1915da,
산하,"한영미 (지은이), 신진호 (그림)","<파랑새 시인, 한하운> 한영미 작가와의 만남",어린이(고학년),비대면,"일반 강연 인문, writing",https://www.bookseed.kr/program/lecture/lecture_20260121102133703_3983c4fc,
청어람주니어,"한영미 (지은이), 나오미양 (그림)",<숲속펜션의 비밀> 한영미 작가와의 만남,어린이(고학년),비대면,"창작 문학, 기타",https://www.bookseed.kr/program/lecture/lecture_20260121101739121_5b495c1d,
산하,"한영미 (지은이), 김기린 (그림)",<메뚜기 악플러> 한영미 작가와의 만남 :친구를 기운나게 하는 다정한 말 한 마디,어린이(고학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260121101503559_dc5f787e,
이야기꽃,윤순정 (지은이),<아빠의 작업실> 윤순정 작가와의 만남 :나의 영원한 응원자 가족! 소중한 이야기,어린이(고학년),비대면,"창작 그림책, writing",https://www.bookseed.kr/program/lecture/lecture_20260120144301419_7e064aae,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5899693%3Ftimestamp%3D20231011174619
가문비(어린이가문비),"이초아 (지은이), 최호정 (그림)",<어쩌다 어린이 기자단> 이초아 작가와의 만남,어린이(고학년),비대면,활동/워크숍 문학,https://www.bookseed.kr/program/lecture/lecture_20260118122640438_1e6048e9,
주니어RHK(주니어랜덤),"송미경 (지은이), 양양 (그림)",<아주 흔한 인사말> 송미경 작가와의 만남,어린이(고학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260116125003519_1fd4c183,
별숲,"이수용 (지은이), 이영림 (그림)",<칭찬의 기술> 이수용 작가와의 만남,어린이(고학년),비대면,"일반 강연 인문, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260109110756440_2a599d0e,
씨드북(주),"조영서 (지은이), 박현주 (그림)","<좋겠다, 너는> 조영서 작가와의 만남 : 부러움 뒤에 숨은 진짜 이야기",어린이(고학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260106123616596_9152fa93,
그린애플,"임지형 (지은이), 양은봉 (그림)",<귀신을 만나는 13가지 방법> 임지형 작가와의 만남 : 또래 관계에서 '나'를 지키는 용기!,어린이(고학년),대면/미정,"일반 강연 교과, 문학",https://www.bookseed.kr/program/lecture/lecture_20251216144450224_c19bd4d1,
크레용하우스,김해우 (지은이),<지푸라기 인형의 저주> 김해우 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, writing",https://www.bookseed.kr/program/lecture/lecture_20251215131920588_712160bb,
이지북,"김정민 (지은이), 토티 (그림)",<해바라기 마을 아이> 김정민 작가와의 만남,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20251210234755749_4348815f,
이오앤북스,"송재찬 (지은이), 신소영 (그림)",『천년의 휴가』 송재찬 작가와의 만남,어린이(고학년),비대면,"일반 강연 과학, 문학",https://www.bookseed.kr/program/lecture/lecture_20251205155120447_76de5d6a,
라임,"한윤섭 (지은이), 이로우 (그림)",<이야기의 신> 한윤섭 작가와의 만남 :지금도 이야기는 쏟아져 내리고 있어! 내 안의 '이야기 신' 깨우기,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20251204152016564_7334ed8a,
어크로스주니어,"윤선아 (지은이), 김잔디 (그림)",<잔소리탈출연구소3. 문해력 재미를 잡아라> 윤선아 작가와의 만남,어린이(고학년),비대면,"일반 강연 교양/문화, 인문",https://www.bookseed.kr/program/lecture/lecture_20251204131914837_d2ca8fb0,
다정한시민,"신인철 (지은이), 박보은 (그림)",<지구가 더워져서 판다가 많이 아파?> 신인철 작가와의 만남,어린이(고학년),비대면,"일반 강연 과학, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20251203131637588_491d0da3,
개암나무,"강미숙, 지다나 (지은이)",기자 출신 저자와 함께하는 신문 읽기 & 초등 문해력 노하우,어린이(고학년),비대면,"일반 강연 인문, 사회",https://www.bookseed.kr/program/lecture/lecture_20251202145135982_0ea85e70,
파란자전거,"전현정 (지은이), 김주경 (그림), 권인기 (도움글)",<저어새 도도의 마지막 선택> 전현정 작가와의 만남 :저어새 도도와 함께 야생이 된 도시 속으로 출발!,어린이(고학년),비대면,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20251202094239367_7098519f,
북멘토(도서출판),"이재은 (지은이), 왕지성 (그림), 문경수 (감수)",<편의점을 털어라! : 지리편> 이재은 작가와의 만남 :편의점으로 떠나는 세계 지리 여행,어린이(고학년),비대면,"일반 강연 사회, 교과",https://www.bookseed.kr/program/lecture/lecture_20251201221239526_417b1f8d,
노란돼지,신전향,<행운과 불행을 바꾸는 상점 묘행당> 신전향 작가와의 만남 :부정적인 감정을 날려버리는 신나는 묘행당 이야기,어린이(고학년),대면/미정,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20251201155724061_cc3361f5,
별숲,"박현정 (지은이), 김다정 (그림)",<할머니의 자리> 박현정 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/lecture_20251128184314516_d9c7d0c6,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6342524%3Ftimestamp%3D20241122155824
푸른숲주니어,"박현정 (지은이), 신민재 (그림)",<모퉁이 하얀 카페 심쿵 레시피> 박현정 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/lecture_20251128174346187_cd9c105a,
찰리북,"김지원 (지은이), 임미란 (그림)",<팥죽 할멈과 귀신 호랑이> 김지원 작가와의 만남 :문해력 전문가 책꿈샘과 함께하는 어린이 창작 강의,어린이(고학년),비대면,"창작 문학, art",https://www.bookseed.kr/program/lecture/lecture_20251128104306944_582e1220,
옐로스톤,"이상미 (지은이), 정희린 (그림)",<타오 씨와 뜨렌비팜> 이상미 작가와의 만남,어린이(고학년),비대면,"활동/워크숍 그림책, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20251125081547309_049b5b3b,
옐로스톤,"이상미 (지은이), 정희린 (그림), 사탕수수 (기획)",<우리를 기다려 주세요> 이상미 작가와의 만남,어린이(고학년),비대면,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20251125075939607_61197d4c,
북멘토(도서출판),"하리라 (지은이), 정진희 (그림), 문은배 (감수)","<변신! 오방 히어로즈, 문화유산에 숨은 색 보물을 찾아라!> 하리라 작가와의 만남 :옷, 풍속, 음식, 유물에 이런 뜻이?",어린이(고학년),비대면,"일반 강연 교양/문화, art",https://www.bookseed.kr/program/lecture/lecture_20251124184826506_e5dfcee4,
다산어린이,"황지영 (지은이), 송효정 (그림)",<톡 : 소문 말고 진실> 황지영 작가와의 만남,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20251124101915336_436b0ba6,
한림출판사,"임화선 (지은이), 김삼현 (그림)","<두부, 꽃이 되다> 임화선 작가와의 만남",어린이(고학년),대면/미정,"일반 강연 문학, 독서활동",https://www.bookseed.kr/program/lecture/lecture_20251120121446182_08efc3b2,
주니어김영사,서피랑,「토토의 무지개 왕국」 서피랑 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, 교과",https://www.bookseed.kr/program/lecture/lecture_20251119133600577_b1c239a3,
서유재,"이병승 (지은이), 해랑 (옮긴이)",<기억을 훔치는 추억 상점> 이병승 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, 사회",https://www.bookseed.kr/program/lecture/lecture_20251119105147934_a96103f1,
양양하다어린이,"유정숙 (글), 황교범 (그림), 이정모 (기획)","<정모 박사의 지구 멸망 프로젝트 : 작전 02> 유정숙 작가와의 만남 :아이들이 만드는 미래, 통합과학으로 읽는 기후 이야기",어린이(고학년),비대면,"일반 강연 과학, 교과",https://www.bookseed.kr/program/lecture/lecture_20251114220323327_06d99c4f,
도서출판 풀빛,"이광희 (지은이), 방상호 (그림)",<한눈에 보는 전쟁 세계사 1> 이광희 작가와의 만남 :주요 전쟁들을 통해 세계사의 흐름을 꿰뚫는다. 전쟁은 세계를 어떻게 바꾸었을까?,어린이(고학년),비대면,"일반 강연 인문, 사회",https://www.bookseed.kr/program/lecture/lecture_20251114200805642_dfa46d89,
아르볼,"백혜영 (지은이), 참깨 (그림)",<구구옥 - 이별을 도와드립니다> 백혜영 작가와의 만남 :마음의 회복 탄력성을 키우자!,어린이(고학년),비대면,"일반 강연 문학, career",https://www.bookseed.kr/program/lecture/lecture_20251114153418665_9df64c21,
푸른숲주니어,"백혜영 (지은이), 신민재 (그림)",<우리말 모으기 대작전 말모이> 백혜영 작가와의 만남 :한글의 소중함,어린이(고학년),비대면,"일반 강연 문학, 기타",https://www.bookseed.kr/program/lecture/lecture_20251114151034935_917ba5ed,
개암나무,"조경희 (지은이), 양수홍 (그림), 박계현 (감수)",<우리는 내일의 전태일입니다> 조경희 작가와의 만남 :교과서에 나오는 인물 이야기 (6학년 1학기 사회),어린이(고학년),비대면,"일반 강연 인문, 사회",https://www.bookseed.kr/program/lecture/lecture_20251113180938431_7dc66337,
구름서재(다빈치기프트),박소영 (지은이),<우리가 몰랐던 우리음악 이야기> 박소영 작가와의 만남,어린이(고학년),비대면,"일반 강연 art, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20251112151142404_2945de4b,
문학과지성사,"최나미 (지은이), 정문주 (그림)",<안젤로와 안제오> 최나미 작가와의 만남,어린이(고학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20251111112730085_076910d6,
길벗스쿨,"조은비 (지은이), 국민지 (그림)",우리 사이 햇빛,어린이(고학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20251111023636985_607f3231,
